"CLIMDIV";"lon";"lat"
2905;-106.71714367;33.938093
2906;-105.74390138;34.15538636
1001;-116.63291081;48.22680867
1002;-116.27666774;46.37762026
1004;-115.32602778;45.23709612
1005;-116.29819734;43.67619563
1007;-114.24837717;42.88453531
1006;-115.86625601;42.46134002
1010;-111.99481217;42.95372589
1008;-113.59925099;44.49000876
4501;-123.90152502;47.40381142
4504;-122.48504183;47.16434922
4502;-122.75386658;48.26951813
4503;-122.45803841;47.75784169
4506;-120.71436339;47.48759046
4505;-121.53680081;47.40610902
4508;-119.4899642;46.61477172
4507;-119.16649195;47.86911006
4509;-118.00218807;48.357056
4510;-117.56217176;46.68282412
201;-113.75818746;35.70438952
202;-110.76825806;35.60476606
205;-113.93985466;33.20375858
203;-112.55386901;34.599883
206;-112.07050532;33.18575984
204;-110.81166886;33.7997255
207;-110.60387505;32.26780058
101;-87.26996075;34.6623918
103;-87.47719878;33.45037078
102;-86.40728874;34.21001699
104;-86.1348095;33.68445014
105;-85.73760005;33.00183306
106;-87.09728914;32.41924696
107;-86.70060584;31.58919666
108;-87.93238876;30.75746849
301;-93.72899619;36.13264144
302;-92.19670086;36.00248196
303;-90.91933655;35.81822959
304;-93.78290981;35.17029621
305;-92.67424542;34.73575135
306;-91.10739641;34.80698336
308;-92.76246729;33.60056296
309;-91.63020264;33.6823122
307;-93.85339449;33.87710011
702;-75.46565493;38.8274445
701;-75.64478558;39.58353575
801;-85.53676567;30.49537787
802;-82.48761966;29.97643178
803;-81.77591891;28.80243722
908;-83.26389345;31.38871376
907;-84.48599613;31.42943588
909;-81.90273799;31.49058563
904;-84.63169827;33.00086912
905;-83.2819474;32.86807189
906;-82.03579934;32.87369428
901;-85.07150472;34.45554148
902;-84.09349072;34.26463857
804;-81.53718388;27.68647687
805;-81.06499317;26.34733792
806;-80.24510033;26.26552463
807;-80.92585904;24.96592255
1101;-89.81093152;41.7853751
1102;-88.36424713;41.76979004
1104;-89.33202475;40.45030853
1105;-88.10906956;40.55645042
1106;-90.01124414;39.40185045
1107;-88.34015501;39.17682372
1109;-88.52606304;37.9945375
1108;-89.52049019;38.02191534
1201;-87.02530011;41.13304476
1202;-86.12575346;41.11889897
1203;-85.22406327;41.17484514
1204;-87.09605021;39.8495258
1205;-86.01129175;39.86062379
1206;-85.15706272;40.07350467
1207;-87.25448181;38.49481417
1208;-86.30583734;38.63416758
1209;-85.34064698;38.95556375
1302;-93.48148507;43.03856482
1303;-91.74818837;42.85466363
1304;-95.2635364;42.04496901
1305;-93.33843791;42.04000137
1306;-91.2643657;41.88592013
1307;-95.12465741;41.06674796
1308;-93.55828099;41.01274963
1309;-91.90958949;41.04113516
1401;-100.83241313;39.56686073
1403;-95.87851656;39.52319606
1404;-100.81813801;38.69785086
1405;-98.19850584;38.66191271
1406;-95.7611391;38.59728066
1407;-100.80185017;37.62942456
1408;-98.39119558;37.61948546
1409;-95.90209926;37.53806493
1808;-79.27386773;39.52856576
1807;-78.23792741;39.61220674
1806;-76.83045252;39.43573158
1805;-76.02171545;39.15284768
1804;-76.75930784;38.90954241
1802;-75.97668716;38.66215151
1801;-75.55529657;38.24013775
4401;-76.76673814;37.32151904
4404;-77.9904548;38.75672338
4405;-79.5010556;37.99047752
4402;-77.93966146;37.427278
4403;-79.25653256;37.17302554
4406;-81.59027515;36.94536919
1501;-87.76283397;37.13754952
1502;-85.82039031;37.35006121
1503;-84.5649422;38.23704184
1504;-83.48009943;37.47854552
1601;-93.63338619;32.44715133
1602;-92.59532987;32.42888826
1603;-91.52440838;32.4468415
1605;-92.1655991;31.2190005
1606;-90.67082357;30.63470905
